id,name,email,city,total_spent
53,Serkan Arslan,customer00053@example.com,Kırıkkale,0
54,Buse Yılmaz,customer00054@example.com,Burdur,0
55,Zeynep Aksoy,customer00055@example.com,İzmir,0
56,Seda Kılıç,customer00056@example.com,Burdur,0
57,Mert Kurt,customer00057@example.com,Diyarbakır,0
58,Kaan Yılmaz,customer00058@example.com,İstanbul,0
59,Serkan Yıldız,customer00059@example.com,Van,0
60,Derya Şahin,customer00060@example.com,Düzce,0
61,Mert Erdoğan,customer00061@example.com,Karabük,0
62,Burak Çelik,customer00062@example.com,Muğla,0
63,Seda Yıldız,customer00063@example.com,Karaman,0
64,Seda Erdoğan,customer00064@example.com,Adana,0
65,Barış Kılıç,customer00065@example.com,Şanlıurfa,0
66,Ahmet Şahin,customer00066@example.com,Mardin,0
67,Melis Doğan,customer00067@example.com,Hatay,0
68,Mehmet Öztürk,customer00068@example.com,Şırnak,0
69,Mustafa Demir,customer00069@example.com,Şanlıurfa,0
70,Ceren Demir,customer00070@example.com,Bayburt,0
71,Seda Çelik,customer00071@example.com,Çanakkale,0
72,Zeynep Polat,customer00072@example.com,Kırıkkale,0
73,Yusuf Arslan,customer00073@example.com,Aksaray,0
74,Buse Tekin,customer00074@example.com,Samsun,0
75,Burak Aksoy,customer00075@example.com,Eskişehir,0
76,Ayşe Doğan,customer00076@example.com,Ordu,0
77,Zeynep Aslan,customer00077@example.com,Sinop,0
78,Melis Erdoğan,customer00078@example.com,Sivas,0
79,Ali Öztürk,customer00079@example.com,Gümüşhane,0
80,Mustafa Kılıç,customer00080@example.com,Afyonkarahisar,0
81,Hakan Aksoy,customer00081@example.com,Hakkari,0
82,Hakan Öztürk,customer00082@example.com,Adana,0
83,Mustafa Kaya,customer00083@example.com,Hakkari,0
84,Mustafa Kaya,customer00084@example.com,Kütahya,0
85,Mustafa Erdoğan,customer00085@example.com,Hatay,0
86,Eren Polat,customer00086@example.com,Giresun,0
87,Onur Çelik,customer00087@example.com,Bartın,0
88,Hakan Polat,customer00088@example.com,Isparta,0
89,Ece Polat,customer00089@example.com,Rize,0
90,Burak Şahin,customer00090@example.com,Bitlis,0
91,Zeynep Kurt,customer00091@example.com,Kahramanmaraş,0
92,Furkan Kurt,customer00092@example.com,Tokat,0
93,Buse Kaya,customer00093@example.com,Bitlis,0
94,Mehmet Koç,customer00094@example.com,Malatya,0
95,Ece Şahin,customer00095@example.com,Isparta,0
96,Burak Aydın,customer00096@example.com,Bayburt,0
97,Kaan Çelik,customer00097@example.com,Samsun,0
98,Yusuf Arslan,customer00098@example.com,Tokat,0
99,Can Demir,customer00099@example.com,Sinop,0
100,Ece Aksoy,customer00100@example.com,Bitlis,0
101,Mehmet Aksoy,customer00101@example.com,Adıyaman,0
102,Mustafa Öztürk,customer00102@example.com,Edirne,0
103,Furkan Polat,customer00103@example.com,Tunceli,0
104,Burak Koç,customer00104@example.com,Artvin,0
105,Yusuf Koç,customer00105@example.com,Adana,0
106,Berk Arslan,customer00106@example.com,Tekirdağ,0
107,Mert Kurt,customer00107@example.com,Batman,0
108,Zeynep Polat,customer00108@example.com,Denizli,0
109,Burak Doğan,customer00109@example.com,Giresun,0
110,Mehmet Güneş,customer00110@example.com,Karaman,0
111,Mehmet Kılıç,customer00111@example.com,Artvin,0
112,Mehmet Güneş,customer00112@example.com,Tunceli,0
113,Serkan Erdoğan,customer00113@example.com,Diyarbakır,0
114,Mehmet Erdoğan,customer00114@example.com,Bilecik,0
115,Buse Yıldız,customer00115@example.com,Aydın,0
116,Barış Demir,customer00116@example.com,Hatay,0
117,Berk Şahin,customer00117@example.com,Şırnak,0
118,Can Güneş,customer00118@example.com,Yalova,0
119,Mehmet Tekin,customer00119@example.com,Bilecik,0
120,Furkan Güneş,customer00120@example.com,Şırnak,0
121,Serkan Kılıç,customer00121@example.com,İstanbul,0
122,Burak Kılıç,customer00122@example.com,Hatay,0
123,Eren Koç,customer00123@example.com,Çanakkale,0
124,Zeynep Doğan,customer00124@example.com,Tekirdağ,0
125,Ömer Demir,customer00125@example.com,Adıyaman,0
126,Kaan Tekin,customer00126@example.com,Şırnak,0
127,Ali Demir,customer00127@example.com,Bayburt,0
128,Burak Erdoğan,customer00128@example.com,İstanbul,0
129,Emre Aslan,customer00129@example.com,Aydın,0
130,Melis Öztürk,customer00130@example.com,Muğla,0
131,Mert Yıldız,customer00131@example.com,Sinop,0
132,Ceren Aksoy,customer00132@example.com,Kırklareli,0
133,Barış Erdoğan,customer00133@example.com,Adıyaman,0
134,Zeynep Aksoy,customer00134@example.com,Kırklareli,0
135,Derya Şahin,customer00135@example.com,Çankırı,0
136,Eren Şahin,customer00136@example.com,Bolu,0
137,Fatma Aksoy,customer00137@example.com,Denizli,0
138,Eren Doğan,customer00138@example.com,Karabük,0
139,Burak Kılıç,customer00139@example.com,Gaziantep,0
140,Zeynep Arslan,customer00140@example.com,Van,0
141,Arda Arslan,customer00141@example.com,Antalya,0
142,Mustafa Kurt,customer00142@example.com,Kars,0
143,Mehmet Yılmaz,customer00143@example.com,Kütahya,0
144,Seda Çelik,customer00144@example.com,İstanbul,0
145,Yusuf Özdemir,customer00145@example.com,Kırıkkale,0
146,Ayşe Kurt,customer00146@example.com,Batman,0
147,Ahmet Şahin,customer00147@example.com,Balıkesir,0
148,Melis Çelik,customer00148@example.com,Karaman,0
149,Mehmet Aslan,customer00149@example.com,Ardahan,0
150,Onur Çelik,customer00150@example.com,Siirt,0
151,Emre Kaya,customer00151@example.com,Kırşehir,0
152,Kerem Kaya,customer00152@example.com,Kahramanmaraş,0
153,Burak Öztürk,customer00153@example.com,Bolu,0
154,Kerem Aksoy,customer00154@example.com,Rize,0
155,Barış Çelik,customer00155@example.com,Hatay,0
156,Buse Yıldız,customer00156@example.com,Elazığ,0
157,Melis Kurt,customer00157@example.com,Ağrı,0
158,Yusuf Kılıç,customer00158@example.com,Rize,0
159,Ece Öztürk,customer00159@example.com,İzmir,0
160,Yusuf Şahin,customer00160@example.com,Muş,0
161,Buse Kaya,customer00161@example.com,Trabzon,0
162,Can Aydın,customer00162@example.com,Tekirdağ,0
163,Kerem Doğan,customer00163@example.com,Hakkari,0
164,Can Yılmaz,customer00164@example.com,Erzurum,0
165,Berk Kılıç,customer00165@example.com,Kars,0
166,Buse Demir,customer00166@example.com,Kars,0
167,Kerem Erdoğan,customer00167@example.com,Ordu,0
168,Zeynep Aksoy,customer00168@example.com,Kütahya,0
169,Ahmet Şahin,customer00169@example.com,İstanbul,0
170,Yusuf Güneş,customer00170@example.com,İstanbul,0
171,Mehmet Şahin,customer00171@example.com,Yalova,0
172,Furkan Aslan,customer00172@example.com,Kocaeli,0
173,Furkan Tekin,customer00173@example.com,Yozgat,0
174,Ali Koç,customer00174@example.com,Bartın,0
175,Burak Arslan,customer00175@example.com,Ankara,0
176,Ayşe Kurt,customer00176@example.com,Adana,0
177,Serkan Aksoy,customer00177@example.com,Eskişehir,0
178,Kerem Kurt,customer00178@example.com,Aydın,0
179,Zeynep Kılıç,customer00179@example.com,Osmaniye,0
180,Ömer Şahin,customer00180@example.com,Kırklareli,0
181,Serkan Doğan,customer00181@example.com,Rize,0
182,Ömer Koç,customer00182@example.com,Kayseri,0
183,Onur Çelik,customer00183@example.com,Erzurum,0
184,Furkan Koç,customer00184@example.com,Elazığ,0
185,Barış Güneş,customer00185@example.com,Kırklareli,0
186,Berk Aksoy,customer00186@example.com,Adana,0
187,Mert Doğan,customer00187@example.com,Gaziantep,0
188,Furkan Güneş,customer00188@example.com,Karabük,0
189,Elif Kılıç,customer00189@example.com,Tokat,0
190,Kaan Özdemir,customer00190@example.com,Giresun,0
191,Serkan Polat,customer00191@example.com,Edirne,0
192,Zeynep Demir,customer00192@example.com,Kastamonu,0
193,Serkan Tekin,customer00193@example.com,Kütahya,0
194,Mustafa Öztürk,customer00194@example.com,Kırşehir,0
195,Can Aydın,customer00195@example.com,Çorum,0
196,Ahmet Kaya,customer00196@example.com,Isparta,0
197,Arda Tekin,customer00197@example.com,Balıkesir,0
198,Kaan Kurt,customer00198@example.com,Düzce,0
199,Hakan Aydın,customer00199@example.com,Nevşehir,0
200,Arda Koç,customer00200@example.com,Isparta,0
201,Emre Yılmaz,customer00201@example.com,Bolu,0
202,Seda Kurt,customer00202@example.com,Gümüşhane,0
203,Yusuf Erdoğan,customer00203@example.com,Tokat,0
204,Mehmet Aksoy,customer00204@example.com,Isparta,0
205,Derya Şahin,customer00205@example.com,Tekirdağ,0
206,Emre Özdemir,customer00206@example.com,Aksaray,0
207,Onur Tekin,customer00207@example.com,Kocaeli,0
208,Seda Özdemir,customer00208@example.com,Kilis,0
209,Ceren Erdoğan,customer00209@example.com,Samsun,0
210,Ceren Aksoy,customer00210@example.com,Sivas,0
211,Melis Yıldız,customer00211@example.com,Trabzon,0
212,Kaan Arslan,customer00212@example.com,Isparta,0
213,Ceren Arslan,customer00213@example.com,Zonguldak,0
214,Arda Öztürk,customer00214@example.com,Kars,0
215,Kaan Demir,customer00215@example.com,Kastamonu,0
216,Can Arslan,customer00216@example.com,Kütahya,0
217,Ömer Aksoy,customer00217@example.com,Bilecik,0
218,Emre Çelik,customer00218@example.com,Hakkari,0
219,Berk Çelik,customer00219@example.com,Giresun,0
220,Mustafa Kurt,customer00220@example.com,Rize,0
221,Ömer Aksoy,customer00221@example.com,Tokat,0
222,Furkan Kaya,customer00222@example.com,Gaziantep,0
223,Ceren Kurt,customer00223@example.com,Nevşehir,0
224,Melis Güneş,customer00224@example.com,Afyonkarahisar,0
225,Buse Güneş,customer00225@example.com,Muş,0
226,Arda Yılmaz,customer00226@example.com,Kahramanmaraş,0
227,Mert Koç,customer00227@example.com,Sakarya,0
228,Onur Aksoy,customer00228@example.com,Karabük,0
229,Melis Öztürk,customer00229@example.com,Şanlıurfa,0
230,Can Arslan,customer00230@example.com,Siirt,0
231,Arda Yılmaz,customer00231@example.com,Nevşehir,0
232,Ömer Koç,customer00232@example.com,Edirne,0
233,Ceren Özdemir,customer00233@example.com,Çanakkale,0
234,Barış Aksoy,customer00234@example.com,Ağrı,0
235,Derya Koç,customer00235@example.com,Iğdır,0
236,Hakan Yılmaz,customer00236@example.com,Bilecik,0
237,Elif Kurt,customer00237@example.com,Çankırı,0
238,Buse Özdemir,customer00238@example.com,Erzincan,0
239,Mehmet Arslan,customer00239@example.com,Muş,0
240,Ömer Aydın,customer00240@example.com,Tekirdağ,0
241,Ömer Kılıç,customer00241@example.com,Muş,0
242,Eren Kurt,customer00242@example.com,Mersin,0
243,Ceren Demir,customer00243@example.com,Trabzon,0
244,Ahmet Aksoy,customer00244@example.com,Antalya,0
245,Kerem Öztürk,customer00245@example.com,Aydın,0
246,Seda Kaya,customer00246@example.com,Ağrı,0
247,Can Aydın,customer00247@example.com,Afyonkarahisar,0
248,Barış Çelik,customer00248@example.com,Hatay,0
249,Emre Polat,customer00249@example.com,Burdur,0
250,Hakan Aydın,customer00250@example.com,Tokat,0
251,Ayşe Arslan,customer00251@example.com,Muğla,0
252,Yusuf Tekin,customer00252@example.com,Karabük,0
253,Fatma Şahin,customer00253@example.com,Diyarbakır,0
254,Mert Şahin,customer00254@example.com,Ardahan,0
255,Ahmet Doğan,customer00255@example.com,Bartın,0
256,Zeynep Koç,customer00256@example.com,Niğde,0
257,Ayşe Aydın,customer00257@example.com,Balıkesir,0
258,Hakan Öztürk,customer00258@example.com,Bolu,0
259,Ayşe Doğan,customer00259@example.com,Yalova,0
260,Ece Şahin,customer00260@example.com,Şırnak,0
261,Ece Kaya,customer00261@example.com,Manisa,0
262,Onur Kurt,customer00262@example.com,Muğla,0
263,Mustafa Erdoğan,customer00263@example.com,Malatya,0
264,Ahmet Kurt,customer00264@example.com,Şanlıurfa,0
265,Ali Kurt,customer00265@example.com,Mardin,0
266,Elif Özdemir,customer00266@example.com,Denizli,0
267,Furkan Yıldız,customer00267@example.com,Zonguldak,0
268,Elif Arslan,customer00268@example.com,Kilis,0
269,Ece Aksoy,customer00269@example.com,Tunceli,0
270,Kaan Kurt,customer00270@example.com,Iğdır,0
271,Eren Kılıç,customer00271@example.com,Isparta,0
272,Ceren Demir,customer00272@example.com,Kars,0
273,Melis Özdemir,customer00273@example.com,Isparta,0
274,Seda Özdemir,customer00274@example.com,Şırnak,0
275,Barış Koç,customer00275@example.com,Malatya,0
276,Ahmet Polat,customer00276@example.com,Konya,0
277,Yusuf Polat,customer00277@example.com,Giresun,0
278,Kerem Arslan,customer00278@example.com,Malatya,0
279,Eren Tekin,customer00279@example.com,Kars,0
280,Onur Yılmaz,customer00280@example.com,Zonguldak,0
281,Burak Demir,customer00281@example.com,Hatay,0
282,Fatma Kurt,customer00282@example.com,Şanlıurfa,0
283,Onur Öztürk,customer00283@example.com,Trabzon,0
284,Elif Polat,customer00284@example.com,Sivas,0
285,Ece Yılmaz,customer00285@example.com,Bingöl,0
286,Mert Öztürk,customer00286@example.com,Ordu,0
287,Ayşe Öztürk,customer00287@example.com,Kırşehir,0
288,Zeynep Güneş,customer00288@example.com,Muğla,0
289,Arda Aksoy,customer00289@example.com,Aksaray,0
290,Kerem Kurt,customer00290@example.com,Kırıkkale,0
291,Ömer Aslan,customer00291@example.com,Tekirdağ,0
292,Eren Doğan,customer00292@example.com,Mersin,0
293,Can Şahin,customer00293@example.com,Erzurum,0
294,Ömer Şahin,customer00294@example.com,Bayburt,0
295,Seda Yıldız,customer00295@example.com,Erzurum,0
296,Burak Polat,customer00296@example.com,Kars,0
297,Fatma Güneş,customer00297@example.com,Aksaray,0
298,Barış Doğan,customer00298@example.com,Bitlis,0
299,Ceren Aydın,customer00299@example.com,Kayseri,0
300,Can Aslan,customer00300@example.com,Elazığ,0
301,Mert Yılmaz,customer00301@example.com,Bayburt,0
302,Emre Arslan,customer00302@example.com,Ankara,0
303,Mehmet Aksoy,customer00303@example.com,Kayseri,0
304,Ayşe Çelik,customer00304@example.com,Şanlıurfa,0
305,Ali Yılmaz,customer00305@example.com,Bartın,0
306,Mert Polat,customer00306@example.com,Tunceli,0
307,Kaan Kılıç,customer00307@example.com,Erzincan,0
308,Mehmet Arslan,customer00308@example.com,Tunceli,0
309,Ali Demir,customer00309@example.com,Ordu,0
310,Arda Demir,customer00310@example.com,Bartın,0
311,Elif Kaya,customer00311@example.com,Denizli,0
312,Emre Güneş,customer00312@example.com,Kırklareli,0
313,Mustafa Öztürk,customer00313@example.com,Bursa,0
314,Onur Kurt,customer00314@example.com,Karabük,0
315,Barış Tekin,customer00315@example.com,Gümüşhane,0
316,Seda Erdoğan,customer00316@example.com,Muş,0
317,Kaan Özdemir,customer00317@example.com,Kırklareli,0
318,Buse Güneş,customer00318@example.com,Samsun,0
319,Mert Güneş,customer00319@example.com,Osmaniye,0
320,Mehmet Tekin,customer00320@example.com,Bitlis,0
321,Seda Aydın,customer00321@example.com,Düzce,0
322,Burak Arslan,customer00322@example.com,Bilecik,0
323,Yusuf Öztürk,customer00323@example.com,Elazığ,0
324,Onur Demir,customer00324@example.com,Diyarbakır,0
325,Ahmet Kurt,customer00325@example.com,Sivas,0
326,Ayşe Tekin,customer00326@example.com,Trabzon,0
327,Mert Kaya,customer00327@example.com,Hakkari,0
328,Mert Doğan,customer00328@example.com,Tekirdağ,0
329,Mustafa Öztürk,customer00329@example.com,İstanbul,0
330,Ece Güneş,customer00330@example.com,Eskişehir,0
331,Furkan Şahin,customer00331@example.com,Karaman,0
332,Can Çelik,customer00332@example.com,İzmir,0
333,Ceren Çelik,customer00333@example.com,Balıkesir,0
334,Mehmet Yıldız,customer00334@example.com,Kırşehir,0
335,Barış Güneş,customer00335@example.com,Kastamonu,0
336,Kaan Şahin,customer00336@example.com,Tokat,0
337,Ayşe Doğan,customer00337@example.com,Ordu,0
338,Eren Erdoğan,customer00338@example.com,Karaman,0
339,Arda Özdemir,customer00339@example.com,Bilecik,0
340,Barış Kaya,customer00340@example.com,Siirt,0
341,Fatma Kılıç,customer00341@example.com,Karabük,0
342,Eren Yılmaz,customer00342@example.com,Bingöl,0
343,Can Güneş,customer00343@example.com,Iğdır,0
344,Ahmet Arslan,customer00344@example.com,Bartın,0
345,Mehmet Yıldız,customer00345@example.com,Trabzon,0
346,Serkan Özdemir,customer00346@example.com,Kars,0
347,Yusuf Güneş,customer00347@example.com,Siirt,0
348,Elif Polat,customer00348@example.com,Bingöl,0
349,Arda Aslan,customer00349@example.com,Rize,0
350,Ömer Kılıç,customer00350@example.com,Bolu,0
351,Buse Yıldız,customer00351@example.com,Kütahya,0
352,Furkan Polat,customer00352@example.com,Kastamonu,0
353,Zeynep Koç,customer00353@example.com,Kırıkkale,0
354,Mehmet Özdemir,customer00354@example.com,Bingöl,0
355,Ömer Arslan,customer00355@example.com,Konya,0
356,Ali Koç,customer00356@example.com,Yozgat,0
357,Ceren Yılmaz,customer00357@example.com,Karaman,0
358,Kaan Kurt,customer00358@example.com,Antalya,0
359,Burak Erdoğan,customer00359@example.com,Mardin,0
360,Barış Polat,customer00360@example.com,Düzce,0
361,Kaan Kaya,customer00361@example.com,Gaziantep,0
362,Eren Aksoy,customer00362@example.com,Çanakkale,0
363,Derya Doğan,customer00363@example.com,Sinop,0
364,Melis Polat,customer00364@example.com,Bursa,0
365,Ahmet Tekin,customer00365@example.com,Hatay,0
366,Ayşe Yıldız,customer00366@example.com,Kırşehir,0
367,Onur Yılmaz,customer00367@example.com,Kırıkkale,0
368,Furkan Demir,customer00368@example.com,Gümüşhane,0
369,Ceren Şahin,customer00369@example.com,Tokat,0
370,Ali Çelik,customer00370@example.com,Uşak,0
371,Derya Doğan,customer00371@example.com,Yozgat,0
372,Ayşe Arslan,customer00372@example.com,Sakarya,0
373,Ceren Polat,customer00373@example.com,Trabzon,0
374,Can Özdemir,customer00374@example.com,Kırıkkale,0
375,Emre Koç,customer00375@example.com,Erzurum,0
376,Derya Tekin,customer00376@example.com,Yozgat,0
377,Fatma Çelik,customer00377@example.com,Aydın,0
378,Eren Kurt,customer00378@example.com,Malatya,0
379,Derya Erdoğan,customer00379@example.com,İzmir,0
380,Ceren Yılmaz,customer00380@example.com,Kastamonu,0
381,Fatma Doğan,customer00381@example.com,Iğdır,0
382,Hakan Polat,customer00382@example.com,Denizli,0
383,Kaan Aksoy,customer00383@example.com,Tunceli,0
384,Kerem Kılıç,customer00384@example.com,Kırıkkale,0
385,Seda Aksoy,customer00385@example.com,Muş,0
386,Kaan Kılıç,customer00386@example.com,Erzurum,0
387,Ayşe Öztürk,customer00387@example.com,Bartın,0
388,Berk Öztürk,customer00388@example.com,Rize,0
389,Mehmet Kılıç,customer00389@example.com,Trabzon,0
390,Ayşe Koç,customer00390@example.com,Nevşehir,0
391,Zeynep Çelik,customer00391@example.com,Uşak,0
392,Mehmet Çelik,customer00392@example.com,Van,0
393,Hakan Kılıç,customer00393@example.com,Bitlis,0
394,Buse Özdemir,customer00394@example.com,Bitlis,0
395,Serkan Özdemir,customer00395@example.com,Adıyaman,0
396,Fatma Çelik,customer00396@example.com,Rize,0
397,Buse Çelik,customer00397@example.com,Balıkesir,0
398,Arda Arslan,customer00398@example.com,Malatya,0
399,Barış Koç,customer00399@example.com,Bilecik,0
400,Buse Kılıç,customer00400@example.com,Bayburt,0
401,Berk Kılıç,customer00401@example.com,Düzce,0
402,Ayşe Polat,customer00402@example.com,Karaman,0
403,Mehmet Tekin,customer00403@example.com,Aydın,0
404,Can Doğan,customer00404@example.com,Hakkari,0
405,Fatma Demir,customer00405@example.com,Siirt,0
406,Ali Şahin,customer00406@example.com,Sinop,0
407,Yusuf Doğan,customer00407@example.com,Ağrı,0
408,Mehmet Kılıç,customer00408@example.com,Artvin,0
409,Mert Aslan,customer00409@example.com,Muğla,0
410,Furkan Çelik,customer00410@example.com,Isparta,0
411,Serkan Kurt,customer00411@example.com,Şırnak,0
412,Zeynep Yıldız,customer00412@example.com,Edirne,0
413,Yusuf Demir,customer00413@example.com,Kilis,0
414,Buse Koç,customer00414@example.com,Osmaniye,0
415,Zeynep Öztürk,customer00415@example.com,Uşak,0
416,Derya Güneş,customer00416@example.com,Çorum,0
417,Can Özdemir,customer00417@example.com,Mersin,0
418,Kaan Arslan,customer00418@example.com,Adıyaman,0
419,Melis Özdemir,customer00419@example.com,Kastamonu,0
420,Zeynep Aksoy,customer00420@example.com,Diyarbakır,0
421,Mustafa Özdemir,customer00421@example.com,Manisa,0
422,Hakan Doğan,customer00422@example.com,Samsun,0
423,Ayşe Arslan,customer00423@example.com,Tekirdağ,0
424,Buse Doğan,customer00424@example.com,Eskişehir,0
425,Berk Polat,customer00425@example.com,Bolu,0
426,Can Koç,customer00426@example.com,Bartın,0
427,Kerem Güneş,customer00427@example.com,Kayseri,0
428,Ayşe Doğan,customer00428@example.com,Afyonkarahisar,0
429,Ceren Koç,customer00429@example.com,Kars,0
430,Ahmet Güneş,customer00430@example.com,Antalya,0
431,Derya Tekin,customer00431@example.com,Uşak,0
432,Ceren Doğan,customer00432@example.com,Hakkari,0
433,Barış Aslan,customer00433@example.com,Gümüşhane,0
434,Elif Aydın,customer00434@example.com,Osmaniye,0
435,Eren Çelik,customer00435@example.com,Düzce,0
436,Ali Kaya,customer00436@example.com,Kırşehir,0
437,Ece Özdemir,customer00437@example.com,Amasya,0
438,Hakan Aslan,customer00438@example.com,Çanakkale,0
439,Mustafa Doğan,customer00439@example.com,Konya,0
440,Fatma Kurt,customer00440@example.com,Elazığ,0
441,Burak Çelik,customer00441@example.com,Karaman,0
442,Melis Aslan,customer00442@example.com,Aksaray,0
443,Serkan Arslan,customer00443@example.com,Edirne,0
444,Eren Polat,customer00444@example.com,Kayseri,0
445,Fatma Kılıç,customer00445@example.com,Burdur,0
446,Kaan Demir,customer00446@example.com,Çorum,0
447,Seda Öztürk,customer00447@example.com,Niğde,0
448,Buse Aksoy,customer00448@example.com,Mardin,0
449,Mustafa Koç,customer00449@example.com,Adıyaman,0
450,Eren Aksoy,customer00450@example.com,Bursa,0
451,Kaan Aslan,customer00451@example.com,İstanbul,0
452,Hakan Koç,customer00452@example.com,Muğla,0
453,Ali Öztürk,customer00453@example.com,Trabzon,0
454,Ahmet Tekin,customer00454@example.com,Batman,0
455,Ömer Tekin,customer00455@example.com,Gümüşhane,0
456,Elif Demir,customer00456@example.com,Tokat,0
457,Derya Doğan,customer00457@example.com,Rize,0
458,Ali Çelik,customer00458@example.com,Ankara,0
459,Mehmet Doğan,customer00459@example.com,Uşak,0
460,Ali Şahin,customer00460@example.com,Hatay,0
461,Melis Aksoy,customer00461@example.com,Çankırı,0
462,Berk Özdemir,customer00462@example.com,Muğla,0
463,Zeynep Aksoy,customer00463@example.com,Sakarya,0
464,Hakan Çelik,customer00464@example.com,Sakarya,0
465,Elif Şahin,customer00465@example.com,Şanlıurfa,0
466,Barış Kurt,customer00466@example.com,Kars,0
467,Mehmet Aslan,customer00467@example.com,Giresun,0
468,Kaan Özdemir,customer00468@example.com,Hatay,0
469,Buse Aslan,customer00469@example.com,Bitlis,0
470,Zeynep Aslan,customer00470@example.com,Karaman,0
471,Melis Aslan,customer00471@example.com,Artvin,0
472,Berk Arslan,customer00472@example.com,Erzurum,0
473,Ali Özdemir,customer00473@example.com,Bingöl,0
474,Zeynep Aydın,customer00474@example.com,Yalova,0
475,Ahmet Kaya,customer00475@example.com,Kütahya,0
476,Can Çelik,customer00476@example.com,Şırnak,0
477,Burak Demir,customer00477@example.com,Kırıkkale,0
478,Burak Güneş,customer00478@example.com,Giresun,0
479,Ceren Öztürk,customer00479@example.com,Kütahya,0
480,Seda Çelik,customer00480@example.com,Yalova,0
481,Ahmet Arslan,customer00481@example.com,Çorum,0
482,Emre Aksoy,customer00482@example.com,Mersin,0
483,Ece Yıldız,customer00483@example.com,Burdur,0
484,Zeynep Yılmaz,customer00484@example.com,Çanakkale,0
485,Ahmet Aslan,customer00485@example.com,Hatay,0
486,Hakan Kılıç,customer00486@example.com,Afyonkarahisar,0
487,Yusuf Arslan,customer00487@example.com,Antalya,0
488,Emre Kurt,customer00488@example.com,Aksaray,0
489,Ali Demir,customer00489@example.com,Trabzon,0
490,Kaan Aslan,customer00490@example.com,Yozgat,0
491,Hakan Şahin,customer00491@example.com,Sivas,0
492,Serkan Öztürk,customer00492@example.com,Kilis,0
493,Mehmet Erdoğan,customer00493@example.com,Kırklareli,0
494,Kaan Yılmaz,customer00494@example.com,Artvin,0
495,Arda Koç,customer00495@example.com,Samsun,0
496,Zeynep Şahin,customer00496@example.com,Şanlıurfa,0
497,Ayşe Özdemir,customer00497@example.com,Balıkesir,0
498,Melis Demir,customer00498@example.com,Konya,0
499,Barış Çelik,customer00499@example.com,Aydın,0
500,Emre Arslan,customer00500@example.com,Osmaniye,0
501,Elif Güneş,customer00501@example.com,Kırıkkale,0
502,Ayşe Kılıç,customer00502@example.com,Muş,0
503,Barış Erdoğan,customer00503@example.com,Kayseri,0
504,Kaan Erdoğan,customer00504@example.com,Karabük,0
505,Furkan Şahin,customer00505@example.com,Burdur,0
506,Buse Aksoy,customer00506@example.com,Giresun,0
507,Furkan Özdemir,customer00507@example.com,Hakkari,0
